"","level","success","success_rate","offered","id","rank","tf","idf","level1","level2","psuccess","lemmaTF","bucket","model_prediction","model_correct","age"
"2638",3,0,4.347826087,23,16883,5765,0,0,1,3,90.90909091,154672,10,1,0,17.8210611046922
"2639",1,1,75,8,10409,2475,53,0.276595745,3,1,72.72727273,381721,3,1,1,17.8210611046922
"2640",2,1,80,5,17004,3775,4,0.063829787,9,2,18.18181818,411614,2,0,0,17.8210611046922
"2641",2,1,50,6,13637,8395,16,0.191489362,5,2,54.54545455,48332,5,1,1,17.8210611046922
"2642",3,1,60,5,14873,5620,9,0.106382979,7,3,36.36363636,87748,4,0,0,17.8210611046922
"2643",3,1,21.42857143,14,17097,2173,6,0.085106383,5,3,54.54545455,259954,8,1,1,17.8210611046922
"2644",3,1,0,1,17849,4452,2,0.042553191,6,3,45.45454545,82871,10,0,0,17.8210611046922
"2645",4,1,16.66666667,6,13398,8267,28,0.212765957,4,4,63.63636364,50686,9,1,1,17.8210611046922
"2646",3,1,40,10,9879,133,25,0.127659574,5,3,54.54545455,6524373,6,1,1,17.8210611046922
"2647",4,1,60,5,11005,5690,3,0.063829787,9,4,18.18181818,59937,4,0,0,17.8210611046922
"2648",3,1,37.5,8,16481,3274,2,0.042553191,4,3,63.63636364,676053,7,1,1,17.8210611046922
"2649",3,1,66.66666667,9,14581,6832,7,0.127659574,7,3,36.36363636,106521,4,0,0,17.8210611046922
"2650",3,1,57.14285714,7,15074,8730,6,0.106382979,8,3,27.27272727,47693,5,0,0,17.8210611046922
"2651",1,1,31.57894737,19,10448,117,672,0.957446809,1,1,90.90909091,10357927,7,1,1,21.8813827544477
"2652",1,0,20,5,17700,8322,2,0.042553191,3,1,72.72727273,67161,8,1,0,21.8813827544477
"2653",1,1,47.05882353,17,11002,6900,63,0.319148936,2,1,81.81818182,51462,6,1,1,21.8813827544477
"2654",1,0,66.66666667,3,18043,5481,3,0.042553191,5,1,54.54545455,42177,4,1,0,21.8813827544477
"2655",1,1,92.30769231,13,11790,1430,32,0.29787234,1,1,90.90909091,1009776,1,1,1,21.8813827544477
"2656",1,0,25,24,10819,8282,288,0.893617021,1,1,90.90909091,1348922,8,1,0,21.8813827544477
"2657",1,1,54.54545455,22,12221,5498,116,0.872340426,1,1,90.90909091,564343,5,1,1,21.8813827544477
"2658",1,1,25,4,16516,989,1,0.021276596,6,1,45.45454545,127844,8,0,0,21.8813827544477
"2659",1,0,46.15384615,26,10807,1228,62,0.446808511,2,1,81.81818182,503158,6,1,0,21.8813827544477
"2660",2,0,60,5,12891,423,40,0.319148936,3,2,72.72727273,701853,4,1,0,21.8813827544477
"2661",2,0,25,8,12729,1824,41,0.382978723,3,2,72.72727273,67260,8,1,0,21.8813827544477
"2662",2,0,34.375,32,12412,2033,62,0.595744681,2,2,81.81818182,284188,7,1,0,21.8813827544477
"2663",1,0,20,5,10156,6950,8,0.042553191,4,1,63.63636364,66187,8,1,0,21.8813827544477
"2664",1,1,83.33333333,6,13299,11229,22,0.234042553,4,1,63.63636364,36291,2,1,1,21.8813827544477
"2665",2,0,20,5,10961,5304,22,0.255319149,4,2,63.63636364,170193,8,1,0,21.8813827544477
"2666",1,0,75,4,9636,2352,101,0.531914894,3,1,72.72727273,521961,3,1,0,21.8813827544477
